modId:ID,name,version,author,pzVersion,description,:LABEL
SPNRetextureUnderwear,Spongie's Character Retexture - Underwear,,Spongie,,Human Retexture,Mod
SPNRetextureCustom,Spongie's Character Retexture - Character Customisation Addon,,Spongie,42.13.1,Adds support for Spongie's Character Customisation and adds new face options,Mod
Erikas_Tiles,Erika's Tiles,2.0.3,Erika,42.0.0,Erika's custom tilepack.,Mod
77firebird,'77 Pontiac Firebird,,KI5,42.13.0,This mod adds Pontiac Firebird from 1977,Mod
mapmodmanager,Map Mod Manager,,,42.15,"Map Mod Manager is a tool for managing and organising your map mods. With a cell grid display, you can visually identify conflicts between maps, regardless of if you're subscribed to them or picked from the huge database of over 800 maps. Whether you're curating a fine collection of maps, checking your current subscriptions for conflicts or expanding your map collection, Map Mod Manager is the tool to help you do it.  <LINE> <LINE>  Interactive Cell Display: view maps on a detailed grid, highlighting selected mods to identify conflicts between themselves or vanilla areas.  <LINE> <LINE>  Toggle Mods: quickly activate or deactivate mods and their dependencies you're already subscribed to, so you don't have to go back into mods to manage them.  <LINE> <LINE>  Steam Links: subscribing to a mod is as easy as clicking on that link and subscribing - if it works with your current collection, you can update it in seconds (with a refresh of the game, of course).  <LINE> <LINE>  Dependency Check: know what mods are required with your maps, ensuring you don't miss anything essential to prevent in-game issues like missing tiles or unexpected behaviour.  <LINE> <LINE>  Export Data: the export function generates a list of selected maps, including their URL's, dependencies and multiplayer data, enabling you to quickly set up a server or share it with a mate.",Mod
B42_Gas_mask_breathing_sound,[B42]Gas mask breathing sound,,,,42Build Operation Patch,Mod
91fordLTD,'91 Ford LTD Crown Victoria,,KI5,42.13.0,This mod adds Ford LTD Crown Victoria and Country Squire from 1991,Mod
StarlitLibrary,Starlit Library,2.1.1,albion,42.15.0,Library for other mods to use. Makes no gameplay changes on its own.,Mod
82porsche911,'82 Porsche 911,,KI5,42.13.0,"This mod adds Porsche 911, from 1982",Mod
B42CNTranslate,B42汉化补全计划,,Dr.寻一,,B42汉化补全计划，半精翻后续会对汉化内容优化,Mod
HighriseClimber,HighriseClimber,,,,Climb to the top in B42,Mod
TheyKnewB42,They Knew [B42],1.1.0,Afterworlds,42.0.0,"The Knox County incident was never just an accident. THEY knew all along. THEY developed it. They just couldn't contain it. Find the ones that didn't escape, they may have medications that can help you survive!",Mod
AutoMechanics,Auto Mechanics,1.25,Tchernobill,42.0.0,Optimises the player time spent on mechanics training on one car while keeping the genuine simulation time spent.,Mod
RMFY,人民翻译,,,,祝你游戏愉快！,Mod
DetailedDescriptionsForOccupationsAndTraits,Detailed Descriptions for Occupations and Traits,1.0,Jetmax937,42.0.0,This mod provides more detailed descriptions for Occupations and Traits with values obtained directly from the game files and wiki.,Mod
BecomeBraveB42,Become Brave [B42],1.0.0,Monkey,42.0.0,"Become Brave with Sandbox Options instead of Mod Options, configurable in the sandbox settings.",Mod
AutoTailoring,Auto Tailoring,2.11,Tchernobill,42.0.0,Optimises the player time spent on tailoring training while keeping the genuine simulation time spent. <LINE> Repair and Patch from Protection Tab.,Mod
MoreKatanaB42,More Katana,0.0.1,,,"More blades, more fun!",Mod
RaccoonCityB42,RaccoonCityB42,,,,"Located to the west of muldraugh, with a map size of 2x2, in cells 33,33",Mod
B42CNExtraPatch,B42汉化补充包,,yawntee,,仅针对B42中硬编码部分文本进行汉化,Mod
AutoTurret,AutoTurret,,,,AutoTurret,Mod
AutoCook,AutoCook,1.5,Tchernobill,42.0.0,Optimises the player time spent on cooking keeping the genuine simulation time spent.,Mod
L4D2 Zombie Siege background Main Menu [21:9],L4D2 Zombie Siege background Main Menu [21:9],,,42.0.0,L4D2 Zombie Siege background Main Menu,Mod
L4D2 Zombie Siege background Main Menu [16:9],L4D2 Zombie Siege background Main Menu [16:9],,,42.0.0,L4D2 Zombie Siege background Main Menu,Mod
NoWelcomeWindow,No Welcome Window [B42.13+],,Ben.en09,42.13,No annoying welcome window,Mod
TchernoLib,TchernoLib,1.11,Tchernobill,42.0.0,Features and tools with small weight and multiple uses.,Mod
TheyKnewB42CN,They Knew [B42]汉化,1.1.0,TID,,一个汉化,Mod
Daisy County B42 version,Daisy County B42 version,,,42.0,"Daisy County is a well-known commercial town in Knox County, Kentucky, but after the disaster, when the once bustling commercial district has now turned into a hell on earth, you need to be even more careful in it! This version was made for build42 version.",Mod
Daisy County B42 version(items part),Daisy County B42 version(items part),,,42.0,"Daisy County is a well-known commercial town in Knox County, Kentucky, but after the disaster, when the once bustling commercial district has now turned into a hell on earth, you need to be even more careful in it! This mod is made for special items spawned in Daisy County.",Mod
Nettle Township B42 version,Nettle Township B42 version,,,42.0,"Nettle Township is a peaceful southern town in the United States, at least before the disaster. This version was made for build42 version！",Mod
Nettle Township B42 version(items part),Nettle Township B42 version(items part),,,42.0,"This part is made for special items,you can cancel it if you don't want to break the balance of game.",Mod
modtag,ModTag,,yawntee,,Custom mod's display name by yourself. Double click mod name to rename it.,Mod
TLK_ArizonaTea_B42,Arizona Iced Tea [B42],2.0,TaterTLK,,Adds arizona tea to chug in Build 42. yumb. yumb,Mod
DBFaster70,[B42] Drag Bodies Faster 70%,,Neighz,,Dragging Speed +70% (SELECT ONLY ONE),Mod
DBFaster50,[B42] Drag Bodies Faster 50%,,Neighz,,Dragging Speed +50% (SELECT ONLY ONE),Mod
DBFaster60,[B42] Drag Bodies Faster 60%,,Neighz,,Dragging Speed +60% (SELECT ONLY ONE),Mod
DBFaster80,[B42] Drag Bodies Faster 80%,,Neighz,,Dragging Speed +80% (SELECT ONLY ONE),Mod
Cute girl voice_solo,Cute girl voice_solo,,,42.0,"Added a new voice type, select it in the character creation interface",Mod
Cute girl voice_all vanilla,Cute girl voice_all vanilla,,,42.0,Replace all female voices in vanilla,Mod
BackpackPlusSatchels,[B42] Backpack + Satchels,1.0.1,KaliLynx,42.0.0,Wear all different satchels with all different backpacks or any wearables.,Mod
moodlesinlua,Moodles in lua,15,molecule31; Dreamweave,42.0.0,"This mod completely replaces the moodles rendering system, thus allowing hot-swappable textures and fixing several bugs of the original system. <LINE> <LINE> Without texture packs, mod will use the default textures from the original game and you can download more texures but they have to support this mod, check the steam page of this mod for more info. <LINE> <LINE> If new texture packs do not appear in the list, check the mod load order, all texture mods should be placed under Moodles In Lua to work correctly example picture can be found on the steam page of this mod.",Mod
B42ModCNTranslate,B42模组汉化补全计划,,Dr.XunYi,,B42模组汉化补全计划,Mod
ChuanDanHanHua,B42传单汉化,,,,汉化了B42游戏内100多张传单,Mod
MoodleFramework,Moodle Framework,2.5,Tchernobill,42.0,Makes it easy to add moodles for modders.,Mod
RandomClothing,Nik's Random Clothing,,,,A collection of Random Clothing.,Mod
truemusic,True Music_b42,,,42.00,,Mod
KnoxEventExpandedNpc,Knox Event Expanded NPC,0.3.28-1,,42.14,This NPC mod requires class files to be replaced. See the workshop page for instructions.,Mod
INVENTORY_TETRIS,Inventory Tetris,,,,A full grid-based inventory overhaul for Project Zomboid.,Mod
ThereGoesMyHero,There Goes My Hero,,,,Makes falling to your death a lot more fun,Mod
HideInCarB42,Hide in Car - B42 fix,,,,This mod was created by overdose.,Mod
TrueMusicJukebox,True Music Jukebox,,,42.15,"<RGB:0.7,0.7,0.7> Adds a jukebox that can play cassettes and vinyls from True Music mods! <LINE>  <LINE> Now syncs music on multiplayer! <LINE>  <LINE> Are you tired of swapping cassettes? Is the effort to find batteries for that walkman draining? Are those record player speakers just getting out of hand? <LINE>  <LINE> 1. Get True Music (and it's prerequisites) <LINE> 2. Get some music for True Music <LINE> 3. Subscribe to some good True Music track packs. <LINE> 4. Find or build yourself an epic jukebox (but don't forget electricity)! <LINE> 5. Turn it on, fill it with cassettes and vinyls, and crank it up to ELEVEN! * <LINE>  <LINE>  <RGB:1.0,0.6,0.0> How to Use Jukeboxes <RGB:0.7,0.7,0.7>  <LINE>  <LINE> To use a jukebox, simply interact with it once after finding or placing it in the world and turn it on. This will convert the jukebox into a container object, at which point you can move (or ""load"") True Music cassettes and vinyls into the jukebox. Once tracks have been loaded, you can play them using either any loaded track's inventory menu or the jukebox interaction menu. If a jukebox is on, it will play until muted or turned off. <LINE>  <LINE> Jukeboxes can hold ELEVENTY arbitrary Zomboid weight units (110 AZWU) of your finest tapes and vinyl records. There is no track limit. Furthermore, you can create a queue of specific tracks that will play next in the loaded playlist, and you can lock the queue if you want to loop through a subset of loaded tracks. <LINE>  <LINE> By default, zombies will be attracted to the sound of the jukebox up to 50 squares away. The range at which zombies can hear a jukebox at full volume is determined in sandbox options. <LINE>  <LINE> * Please adjust Ambient Volume in the vanilla sound settings if jukeboxes are too loud or quiet for you at the volume your friends prefer. <LINE>  <LINE>  <RGB:1.0,0.6,0.0> Jukebox Therapy and Nutrition <RGB:0.7,0.7,0.7>  <LINE>  <LINE> Jukeboxes can be given the power to improve the moods and health of players who hear them in many ways; they can even quench your thirst if you want them to be that magical. These features are off by default; enable them in sandbox options if they are up your alley! <LINE>  <LINE>  <RGB:1.0,0.6,0.0> Jukebox Icons <RGB:0.7,0.7,0.7>  <LINE>  <LINE> This mod features icons to help people navigate its menus nonverbally. All buttons still do what their button text says they will do; buttons that say ""play"", ""enable"", or ""turn on"" do exactly that. However, the icon for buttons that toggle things on and off will reflect the CURRENT state of that option, [b]not[/b] the state it will be in after it's pressed. We made this decision because we wanted the icons to appear ""on"" when the associated toggle is ""on"" - the Jukebox icon is green when it's on, the Looping Queue icon is queue-colored when it's on (something between orange and gold), and the Portable Jukebox Key button is yellow when it's on. This pattern can be inverted using Mod Options if it is not intuitive to you. <LINE>  <LINE>  <RGB:1.0,0.6,0.0> Portable Jukebox Keys <RGB:0.7,0.7,0.7>  <LINE>  <LINE> Enable portable jukebox keys in the sandbox to allow players to access their jukeboxes from a distance by interacting with their keyring in their primary inventory. To be clear, this ability is added to the context menu of your key rings; it will not add physical keys to your key ring. <LINE>  <LINE>  <RGB:1.0,0.6,0.0> Range Options <RGB:0.7,0.7,0.7>  <LINE>  <LINE> In sandbox options, you can determine the audible sound range of the jukebox; note, however, that this feature only works if you use our custom sound mode (the default sound mode of this mod). If you are using Project Zomboid's 3D sound effects, however, be aware that we are not able to control the sound range; it will drop off in volume according to whatever is deemed realistic by Project Zomboid. <LINE>  <LINE>  <RGB:1.0,0.6,0.0> Jukebox Hero <RGB:0.7,0.7,0.7>  <LINE>  <LINE> Want to get a jukebox as fast as possible? Just choose the Jukebox Hero trait at character creation, and you will spawn with a Jukebox Starter Kit for building your very own jam station! You will also learn a recipe for screwing together a boombox, a record player, and some metal to make jukeboxes out of scrap. <LINE>  <LINE> Jukebox Starter Kits (which can be used to easily build a jukebox) and Jukebox Instruction Manuals (which can teach you to construct your own box from either starter kits or scrap) can be found in various locations, including crates, shelves, and wardrobes. Also, anyone who has reached level 4 as an electrician will know how to build one, even if they don't have this trait. We included sandbox options for making these items easier or harder to find. <LINE>  <LINE>  <RGB:1.0,0.6,0.0> 3D Audio Effects <RGB:0.7,0.7,0.7>  <LINE>  <LINE> True Music boomboxes and cassette players use 3D audio effects that many people find annoying because they have excessive bias toward one ear, and that ear is often the wrong ear (it's based on player position, not head orientation). We do not like the sound of that audio, so we replaced it with something we like much better. However, you may enable that form of 3D audio using both Mod Options (for the individual level) and sandbox options (if you want to force your entire server to use the same 3D sound as True Music). Just be aware that we do not control the audible range of that sound; we only control the range of our custom 3D audio mode (the default used by this mod).",Mod
VanillaGearExpanded,Vanilla Gear Expanded,,Tango,,New outfits and gear to expand the various law enforcement agencies & special police forces,Mod
KI5 Completely Chinese,KI5载具合集完全汉化,,易海林汐,,基于KI5载具合集的完全汉化模组,Mod
SimpleMoodleIndicators,Simple Moodle Indicators,2.0,Dreamweave,42.0.0,Custom moodle backgrounds with transparency and level indicators for improved readability. Requires 'Moodles in lua',Mod
